Mean,,,,,,,,,,,,,
Error(micrometer), Surface0, Surface1, Surface2, Surface3,Surface4, Surface5, Surface6, Surface7, Surface8, Surface9, totalStdDeviation, TotalMean,
CV0, 2.0657,  2.9303,  5.0221,  3.3406,  3.5618, 21.8507,  1.4649,  3.1653, 1.9080,  1.8951, 5.880496978759766, 4.720462799072266,
CV1, 1.3910,  3.3992, 13.2400,  3.2026,  4.0714,  4.4664,  1.3907,  2.6394, 1.8954,  1.4324, 3.606452465057373, 3.7128543853759766,
CV2, 2.2907,  3.3303,  4.6102,  2.9819,  2.7429,  3.5374,  2.3148,  7.1827, 3.8949,  3.3476, 1.688064455986023, 3.6233389377593994,
CV3, 1.1070,  2.9585,  4.0373,  2.4108,  2.4722, 21.0884,  1.3758,  2.1098, 1.3135,  1.3856, 5.857232093811035, 4.025874614715576
CV4,
CV5,
CV6,
CV7,
CV8,
CV9,
Avg,,,,,,,,,,,,,
,,,,,,,,,,,,,
StdardDeviation,,,,,,,,,,,,,
StdDev(micrometer), Surface0, Surface1, Surface2, Surface3,Surface4, Surface5, Surface6, Surface7, Surface8, Surface9, ,,
CV0, ,,,,,,,,,,,,
CV1, ,,,,,,,,,,,,
CV2, ,,,,,,,,,,,,
CV3, ,,,,,,,,,,,,
CV4, ,,,,,,,,,,,,
CV5, ,,,,,,,,,,,,
CV6, ,,,,,,,,,,,,
CV7, ,,,,,,,,,,,,
CV8, ,,,,,,,,,,,,
CV9, ,,,,,,,,,,,,
Avg, ,,,,,,,,,,,,


# May 12th, BES 3K test result:
Mean,,,,,,,,,,,,,
Error(micrometer), Surface0, Surface1, Surface2, Surface3,Surface4, Surface5, Surface6, Surface7, Surface8, Surface9, totalStdDeviation, TotalMean,
CV0,0.965,2.5134,4.2586,2.3608,2.148,2.7457,1.3134,2.5419,1.5718,1.2211,1.02833092212677,2.16396355628967,
CV1,1.1703,2.9513,4.9718,3.2939,3.2564,3.6315,1.3674,2.2946,1.955,1.3673,1.31670713424683,2.62594127655029,
CV2,1.1424,2.9867,4.4777,2.717,2.7619,3.3026,1.4408,3.1698,1.4689,1.2865,1.18448543548584,2.47543287277222,
CV3,1.162,2.8031,4.2937,2.2719,2.1595,2.2279,1.1511,2.2538,1.4574,1.12,1.01635825634003,2.09003400802612,
CV4,0.8863,2.8751,5.1499,2.2673,2.2492,2.5261,1.2343,2.408,1.5256,1.2191,1.2550460100174,2.23409557342529,
CV5,0.97,2.6604,3.9583,1.9881,2.0328,2.3534,1.1675,2.522,1.4325,1.175,0.925507307052612,2.02600932121277,
CV6,0.8866,2.4064,4.6916,2.5252,2.6391,3.4617,1.2501,2.8816,1.4754,1.0636,1.40518307685852,2.3281147480011,
CV7,1.097,2.417,4.6682,2.1009,2.0137,2.666,1.1524,2.7574,1.4081,1.0447,1.10369324684143,2.13252139091492,
CV8,1.0136,2.6136,4.542,2.094,2.201,2.447,1.179,2.2493,1.4948,1.277,1.13219571113586,2.11113023757935,
CV9,1.0525,2.8498,3.896,2.1859,2.5326,2.7448,1.4233,2.9006,1.6597,1.2182,1.02195656299591,2.24634647369385, 
Avg,,,,,,,,,,,,,

